OptionID,VaR_95,CVaR_95,VaR_99,CVaR_99,EntrySignals,ExitSignals,AvgDiasVencimento,AvgDelta,TotalTrades,WinRate,TotalReturn,SharpeRatio,MaxDrawdown
BOVAE126_2024.05.17,0.08701298701298678,0.12985046699332412,0.14285714285714302,0.2274392274392275,28,38,1.6714490674318507,0.10283569208090733,8,0.625,0.15646258503401317,3.3263596479911173,-0.24786324786324793
BOVAE127_2024.05.17,0.050000000000000044,0.07331515421653217,0.08333333333333326,0.1313389886300175,73,104,6.144745122718691,0.13240654228893728,17,0.5294117647058824,1.3609219210328511,7.855211106944067,-0.18181818181818185
BOVAE128_2024.05.17,0.0625,0.09596723959413969,0.10000000000000009,0.1586430556836676,71,60,9.869777158774374,0.11925064157365327,14,0.5,-0.44664311570782156,-0.7173219341963907,-0.739366515837104
BOVAE129_2024.05.17,0.03125,0.06520182545468133,0.07407407407407418,0.14902110479291392,121,120,11.421643466546923,0.13033841138702296,21,0.5238095238095238,-0.3200485365875867,0.17072370473981216,-0.7583288043478261
BOVAE130_2024.05.17,0.04761904761904756,0.06942369047421143,0.08333333333333326,0.11059395600229778,92,77,11.680625630676085,0.08409626859294893,19,0.631578947368421,1.4389265678425913,6.973526882903902,-0.22222222222222213
BOVAE131_2024.05.17,-0.0,0.002412852419193573,0.08333333333333326,0.10571120608714592,33,17,12.074204946996467,0.059738127613659056,4,0.25,-0.1488095238095238,-7.905263366118625,-0.15972222222222204
BOVAF122_2024.06.21,0.03703703703703709,0.05805090848700293,0.061617647058823485,0.11929799697656847,87,36,30.570889894419306,0.13508858869022883,15,0.6666666666666666,-0.06370862582221569,0.6130556364252953,-0.375
BOVAF124_2024.06.21,0.023255813953488413,0.03201299565110025,0.04322849213691031,0.048612209046991726,12,22,23.0,0.18136438886866213,5,0.8,0.20037190703418367,12.906722041700581,-0.04444444444444456
BOVAF125_2024.06.21,0.030303030303030276,0.04131768738397167,0.03935686274509811,0.0856541074188133,28,28,23.263698630136986,0.14327394961687878,6,0.5,-0.1252133819052142,-3.039028173780746,-0.17948717948717954
BOVAF126_2024.06.21,0.03846153846153855,0.04953003479039984,0.04878048780487798,0.0766873176440967,53,49,24.284552845528456,0.14043480374232875,15,0.8,0.642657927080078,7.70730804217068,-0.1794871794871795
