Column,IQR_Outliers,ZScore_Outliers,Mean,Median,Std,Min,Max,Q1,Q3
Bid,87434,14112,7.941520633478342,0.11,14.515611670224406,0.0,110.31,0.0,9.62
Ask,39722,6094,8.882612877027364,0.11,15.946055640771997,0.0,1448.0,0.01,12.34
Vol_imp,364503,0,,-226.8624639078833,,-inf,inf,-953.544921159687,-119.91342472382406
Gama,111631,34689,0.034833644737934474,1.937519577495e-05,0.15097742767601657,0.0,1.0,2.275465154996105e-12,0.0145225356318015
Theta,3463,4438,2.0711737464233906,-6.543556094674457e-20,6.147798639644291,-66.72739262245196,15.272280036716248,-0.0916906454747852,8.745087893039837
Vega,200736,849,2.743507085617434,0.0016507305657875,5.337822745027917,0.0,39.90864480409246,8.449001109126333e-12,2.2734969198498227
Rho,849,849,-6.137851171795587,-1.0171170514150811,8.745767804201494,-115.23230506132109,0.0,-11.341177378379028,-4.583079471684613e-08
Dias4Vencimento,849,849,36.26700827965895,37.0,23.572774841533302,0.0,364.0,15.0,52.0
