Column,IQR_Outliers,ZScore_Outliers,Mean,Median,Std,Min,Max,Q1,Q3
Bid,0,2722,10.778524698273301,1.03,15.473025107495708,0.0,76.59,0.0,19.52
Ask,6,6,12.243527077406833,1.01,17.082252045808428,0.0,174.66,0.01,23.09
Vol_imp,245282,0,1.8582581939418067e+300,0.1485389581671528,inf,-8.130797582479173e+276,1.4472214042503485e+305,0.1480757466668135,0.15139393534134826
Gama,95186,34266,0.03535160142403059,2.69346651096e-05,0.15168973606560507,0.0,1.0,1.390938562401246e-11,0.0154129846579038
Theta,5214,5992,-5.561922197267542,-5.817793774325274,5.800132247991209,-140.19998818700032,2.068652537507472,-7.383258645407004,-0.06113169175055385
Vega,189808,849,2.7913523519375336,0.0024118268080937,5.369792976718761,0.0,39.90864480409246,8.646828604674295e-11,2.422980123417441
Dias4Vencimento,849,849,36.39814270568582,38.0,23.37228044215511,0.0,364.0,15.0,51.0
