Assets,Sharpe_Ratio,Expected_Return,Volatility,Success
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'CPLE6.SA', 'VIVT3.SA')",21.553633965137365,24.485441163883607,1.13602380013915,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'JBSS3.SA')",17.481358990500176,35.370119903290636,2.0233049342737983,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'CYRE3.SA')",20.415342607964842,33.02579341884944,1.6176947922473148,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'COGN3.SA')",18.132259246718988,20.776000112592108,1.1458031693624446,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'BPAC11.SA')",19.578704028335974,37.7218753954131,1.9266788721469397,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'EMBR3.SA')",17.169506783885645,42.106159720584046,2.452380272222064,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'ELET3.SA', 'VIVT3.SA')",21.429603970205616,37.224174159777654,1.7370444274906724,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'JBSS3.SA', 'CYRE3.SA')",16.911533157451483,30.95407313820837,1.8303528633398638,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'JBSS3.SA', 'COGN3.SA')",13.835562453629963,16.622018530916215,1.2013981062660148,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'JBSS3.SA', 'BPAC11.SA')",15.777004495279547,37.36335690654301,2.368216153942408,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'JBSS3.SA', 'EMBR3.SA')",14.41409907081756,37.48354002947664,2.6004774800920387,True
