,IRBR3.SA,MRFG3.SA,BBDC4.SA,RDOR3.SA,TOTS3.SA,PETZ3.SA,B3SA3.SA,CPLE6.SA,ELET3.SA,JBSS3.SA,CYRE3.SA,COGN3.SA,BPAC11.SA,EMBR3.SA,VIVT3.SA
0,57.43185490802792,22.26762798502093,21.778393931630468,32.080479425679805,51.57258935122898,3.0162982139161603,20.015164478035906,11.540852985538862,40.01741586697164,170.2851240985876,27.85941561057377,2.8267904396390233,44.89900007233223,86.07693383379473,37.698083873097104
1,34.28279159932897,32.89354683468581,21.30854475782654,42.464349700249834,54.6390205240236,4.0302572317937795,19.110263365130876,14.044177313666651,38.86686205285442,56.05798795893412,27.939402565392708,2.2416997531248684,45.19068594088272,81.67924925970487,45.178425447139496
2,41.82839232260034,24.85802711218244,19.275851809092565,48.2710543157203,47.06224750645684,5.859482618870841,22.49363818383964,14.359800237176087,35.946811310591045,53.999923889933,26.830645322456757,2.3656864898735477,47.977900385688834,75.6761989453075,38.300037361886176
3,48.4892581414517,31.071982962751072,20.652201979539218,37.68953379983753,57.40918470322863,3.4696374015981326,15.516977490071547,12.42017974522825,40.19136786504854,587.8093612408546,28.765873260398173,2.667631211049279,45.68270640599249,89.76262381304097,39.27354752741291
4,39.34302415063289,17.217557534973984,26.54333866049385,35.286568772867525,49.65898380539783,2.9849114844295164,19.525865765780633,12.25483617866446,40.070810841239094,164.12891629038066,35.30529515659799,4.573748298915438,48.43722726171164,71.97262504997677,38.74787059216114
5,41.91072347143878,35.03758107159236,22.940473581375716,40.77674024597506,55.74983558806954,4.465932367879983,16.52395004579756,11.93480709138006,35.87501764857314,596.5033558792865,25.117977844294117,2.73074731301405,52.92032902813868,116.00149408216609,39.07917182137323
6,35.32793204546461,21.25318499197685,18.28759214598929,38.18695151697187,44.171627056830225,3.5320610000981145,15.297799438958906,13.165727772876664,36.62597439722268,168.7814125695949,25.47140410991619,2.876007980778372,42.17243452577843,85.0973811517558,40.93981944364551
7,40.28741265797042,30.04519324494702,23.41105435150103,40.533185579519994,56.3236917920775,2.7752350203749385,14.521862085955307,13.697247442365136,38.21826669257581,57.113665362647936,24.912461842521715,3.1630708572747146,60.65625830511134,118.57338900316414,42.819911202870394
8,44.62744355452204,20.926765573970535,27.152651537329817,48.9814207107215,48.94308153787728,2.8543094297276874,18.24170540293491,15.514349022349734,43.45029746518489,48.066648460825945,30.54700766823375,4.983751384981022,52.024804083550826,78.06778742528961,41.796167012832456
9,49.63055763396783,20.065755892007726,26.947603344927806,33.086293672165546,51.50350787057968,3.324098148051729,22.489595982570922,13.119150780721778,36.67762923366048,1377.2875925886128,27.750296411569522,3.901203441692576,53.414414009144544,104.78903721178065,37.23526545534064
10,43.624004919722964,21.324730891443682,25.45343043142813,40.98340918844377,53.81216625351472,3.6740818206922143,12.976740084852532,14.336357996551397,41.85693391829778,373.8285994923238,21.96724418035903,2.4808073967158895,64.0810672383456,90.81110168370775,45.27400619938892
11,55.05818620445233,44.567382448049855,23.46848443619491,28.536288739804775,43.097867383044864,2.846586865364915,17.281902759171913,11.70872114952383,38.55013307523453,154.31886908200326,27.54533643480109,3.428934555490801,51.64369414048,113.36737473021307,41.463676275127895
12,41.60060877851343,24.422170918126522,23.735195034596753,38.274172332273835,50.04663800799736,3.4378311367718055,15.754748237760467,12.533328893497261,35.42778199244366,110.38504998457071,21.07900164063196,2.7618134317039895,50.656653244086726,100.98002126622785,35.200178053746114
