symbol,type,name,open,high,low,close,volume,financial_volume,trades,bid,ask,category,contract_size,created_at,updated_at,variation,ewma_1y_max,ewma_1y_min,ewma_1y_percentile,ewma_1y_rank,ewma_6m_max,ewma_6m_min,ewma_6m_percentile,ewma_6m_rank,ewma_current,has_options,iv_1y_max,iv_1y_min,iv_1y_percentile,iv_1y_rank,iv_6m_max,iv_6m_min,iv_6m_percentile,iv_6m_rank,iv_current,middle_term_trend,semi_return_1y,short_term_trend,stdv_1y,stdv_5d,beta_ibov,garch11_1y,isin,correl_ibov,entropy,security_category,sector,quotation_form,market_maker,highest_options_volume_rank,long_name,bid_volume,ask_volume,time,previous_close
DASA3,STOCK,DASA ON,1.72,1.74,1.71,1.73,165400,284115,0,1.73,1.74,VISTA,100,2025-02-13T10:18:52.607Z,2025-02-13T10:18:52.607Z,0,127.91,37.17,8.33,21.81,73.71,37.17,16.67,54.16,56.96,True,174.44,0,0,0,0,0,0,0,0,0,0.85,0,0.04275790563151288,0.014876452168069538,1.8293770667386278,68.62,BRDASAACNOR1,0.36099591581198087,0.1730675076658937,11,SERVIÇOS MÉDICOS,100,False,229,DIAGNOSTICOS DA AMERICA S.A.,2600,3200,2025-02-13 14:55:37,1.73
ORVR3,STOCK,ORIZON ON,42.7,43.43,42.49,43.33,80600,3466500,0,43.31,43.35,VISTA,100,2025-02-13T10:18:52.668Z,2025-02-13T10:18:52.668Z,1.238,36.16,19.31,21.03,30.98,36.16,22.04,11.11,17.63,24.53,True,31.57,0,0,0,31.57,0,0,0,0,1,1.25,1,0.016165561813179758,0.007014577563583155,0.96133633017689,24.49,BRORVRACNOR0,0.5017646196130995,0.4954821753397698,11,"SANEAMENTO, SERV. ÁGUA E GÁS",100,False,0,ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,100,100,2025-02-13 14:55:32,43.33
VTRU3,STOCK,VITRUEDUCA ON,6.51,6.51,6.31,6.5,121400,780043,0,6.49,6.51,VISTA,100,2025-02-13T10:18:52.631Z,2025-02-13T10:18:52.631Z,0.154,94.75,28.29,70.24,55.16,94.75,33.93,72.22,51,64.95,False,0,0,0,0,0,0,0,0,0,-1,0,1,0.03792782445856182,0.009393873101737803,0.8020222887896015,0,BRVTRUACNOR3,0.15274448844041252,0.17019677834042365,11,,,False,,,100,900,2025-02-13 14:55:26,6.5
AERI3,STOCK,AERIS ON,5.31,5.37,5.2,5.34,127200,671848,0,5.34,5.35,VISTA,100,2025-02-13T10:18:52.562Z,2025-02-13T10:18:52.562Z,0.565,216.33,38.35,72.22,45.74,216.33,55.74,53.97,39.87,119.76,True,196.12,0,0,0,196.12,0,0,0,0,0,1.01,-1,0.0659214362709311,0.023895176489987284,1.3815549643727034,102.49,BRAERIACNOR4,0.17683042438037186,0.27979716958564005,11,"MÁQUINAS, EQUIPAMENTOS, VEÍCULOS E PEÇAS",100,False,227,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,300,200,2025-02-13 14:55:40,5.34
PNVL3,STOCK,DIMED ON,7.95,7.95,7.83,7.93,142900,1128260,0,7.93,7.94,VISTA,100,2025-02-13T10:18:52.508Z,2025-02-13T10:18:52.508Z,-0.126,37.6,17.04,21.83,30.3,28.04,17.04,43.65,56.64,23.27,True,56.96,13.12,83.73,53.76,39.99,13.12,94.44,87.72,36.69,-1,0.93,-1,0.016371909300373647,0.015537000404975555,1.0396500768756358,34.87,BRPNVLACNOR9,0.5358007812209271,0.41315401500917665,11,COMÉRCIO (ATACADO E VAREJO),100,False,106,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,200,100,2025-02-13 14:54:22,7.93
MELI34,STOCK,MERCADOLIBREDRN,97.08,97.94,96.67,97.13,252049,24536000,0,97.12,97.14,VISTA,1,2025-02-13T10:18:52.655Z,2025-02-13T10:18:52.655Z,0.031,57.18,22.33,42.86,32.45,57.18,24.84,19.05,27.21,33.64,True,102.38,0,0,0,102.38,0,0,0,0,0,1.04,1,0.02081849666360742,0.008920460029351167,0.03332342492198509,31.58,BRMELIBDR006,0.01350565800929419,0.35783705911890973,1,,1,False,153,,49,49,2025-02-13 14:55:41,97.13
JSLG3,STOCK,JSL ON,5.66,5.7,5.61,5.68,114000,646218,0,5.67,5.68,VISTA,100,2025-02-13T10:18:52.659Z,2025-02-13T10:18:52.659Z,0.531,76.82,29.85,88.89,49.44,76.82,29.85,77.78,49.44,53.07,False,0,0,0,0,0,0,0,0,0,0,0.8,1,0.031143248998874194,0.041217236731796725,2.152296044255893,57.52,BRJSLGACNOR2,0.583114138777268,0.25589765028259287,11,SERVIÇOS TRANSPORTE E LOGÍSTICA,100,False,0,JSL S.A.,200,200,2025-02-13 14:55:41,5.68
MDNE3,STOCK,MOURA DUBEUXON,12.15,12.15,11.84,12.12,172700,2075580,0,12.1,12.12,VISTA,100,2025-02-13T10:18:52.617Z,2025-02-13T10:18:52.617Z,-0.247,72.12,26.62,42.06,32.4,72.12,26.62,53.17,32.4,41.36,True,0,0,0,0,0,0,0,0,0,1,0.84,1,0.0264984750243229,0.01835858213260532,1.8690105660005063,41.55,BRMDNEACNOR9,0.595122483222934,0.7084239823979209,11,"CONSTRUÇÃO CIVIL, MAT. CONSTR. E DECORAÇÃO",100,False,0,MOURA DUBEUX ENGENHARIA S/A,200,100,2025-02-13 14:55:07,12.12
FRAS3,STOCK,FRAS-LE ON,21.95,22.76,21.95,22.74,326600,7344630,0,22.73,22.74,VISTA,100,2025-02-13T10:18:52.575Z,2025-02-13T10:18:52.575Z,3.599,29.72,15.22,13.89,36.21,28.31,17.4,5.56,28.14,20.47,False,0,0,0,0,0,0,0,0,0,1,1.01,1,0.013242481372408129,0.008748715896679159,0.9772600235263006,20.86,BRFRASACNOR0,0.6226675673280466,0.468630834585922,11,"MÁQUINAS, EQUIPAMENTOS, VEÍCULOS E PEÇAS",100,False,0,FRAS-LE S.A.,400,100,2025-02-13 14:55:39,22.74
TRIS3,STOCK,TRISUL ON,5.25,5.31,5.24,5.29,133000,703528,0,5.29,5.3,VISTA,100,2025-02-13T10:18:52.508Z,2025-02-13T10:18:52.508Z,0.189,54.4,24.05,41.27,26.1,43.94,24.05,33.33,39.82,31.97,True,66.71,20.61,0,31.28,61.82,20.61,0,34.99,35.03,0,0.89,1,0.021533351181587047,0.01183147593945679,1.531607146268681,31.22,BRTRISACNOR4,0.6001381611916304,1.0185034412412504,11,"EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAÇÃO",100,False,154,TRISUL S.A.,400,100,2025-02-13 14:54:23,5.29
OPCT3,STOCK,OCEANPACT ON,5.35,5.42,5.32,5.42,188500,1010400,0,5.41,5.42,VISTA,100,2025-02-13T10:18:52.570Z,2025-02-13T10:18:52.570Z,0.743,58.85,26.43,94.44,30.35,58.85,26.43,88.89,30.35,36.27,False,0,0,0,0,0,0,0,0,0,-1,0.98,0,0.022533903208496853,0.019703049714574566,0.7452543283696198,35.85,BROPCTACNOR0,0.27905098832480574,0.7801585575495751,11,PETRÓLEO E GÁS,100,False,0,OCEANPACT SERVIÇOS MARITIMOS S.A.,300,400,2025-02-13 14:55:03,5.42
HBOR3,STOCK,HELBOR ON,1.5,1.52,1.48,1.52,231700,346656,0,1.51,1.52,VISTA,100,2025-02-13T10:18:52.668Z,2025-02-13T10:18:52.668Z,1.333,68.68,22.82,77.38,43.22,68.68,22.82,68.25,43.22,42.64,True,73.28,29.06,77.38,39.33,73.28,29.06,84.92,39.33,46.45,-1,0.83,0,0.02640787344401016,0.01663564443470323,2.022163734217563,36.38,BRHBORACNOR3,0.6460979601189947,0.2700971676763404,11,"CONSTRUÇÃO CIVIL, MAT. CONSTR. E DECORAÇÃO",100,False,142,HELBOR EMPREENDIMENTOS S.A.,2900,2600,2025-02-13 14:54:16,1.52
POMO3,STOCK,MARCOPOLO ON,6.01,6.07,5.96,6.07,34300,206764,0,6.05,6.07,VISTA,100,2025-02-13T10:18:52.551Z,2025-02-13T10:18:52.551Z,0.998,89.8,24.64,25.4,22.88,51.5,24.64,39.68,55.51,39.55,False,0,0,0,0,0,0,0,0,0,0,0.85,0,0.029983155301741945,0.018134952501219544,1.0973542426243126,44.56,BRPOMOACNOR0,0.308805477629795,0.5970220047854888,11,"MÁQUINAS, EQUIPAMENTOS, VEÍCULOS E PEÇAS",100,False,0,MARCOPOLO S.A.,1000,400,2025-02-13 14:52:16,6.07
MEAL3,STOCK,IMC S/A ON,0.98,0.99,0.98,0.99,49100,48125,0,0.98,0.99,VISTA,100,2025-02-13T10:18:52.633Z,2025-02-13T10:18:52.633Z,1.02,92.66,30.24,0,17.05,57.96,30.24,0,38.38,40.88,True,137.43,0,0,0,137.43,0,0,0,0,-1,0.65,1,0.03053981798057592,0.007619684104087925,1.2571016101513657,46.97,BRMEALACNOR9,0.3473117056476452,0.26057627601943856,11,ALIMENTOS,100,False,166,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,1100,4400,2025-02-13 14:55:33,0.99
USIM3,STOCK,USIMINAS ON,5.56,5.71,5.52,5.71,71900,402940,0,5.69,5.71,VISTA,100,2025-02-13T10:18:52.570Z,2025-02-13T10:18:52.570Z,3.442,96.42,27.08,48.81,22.53,63.24,28.35,34.13,41.13,42.7,False,0,0,0,0,0,0,0,0,0,0,0.82,1,0.028915256361203456,0.032440472638236115,1.4424635420904879,46.72,BRUSIMACNOR3,0.42091391242451176,0.22186291780779452,11,METALURGIA E SIDERURGIA,100,False,0,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,600,800,2025-02-13 14:51:46,5.71
TFCO4,STOCK,TRACK FIELD PN,9.51,9.58,9.45,9.56,38700,368262,0,9.54,9.57,VISTA,100,2025-02-13T10:18:52.560Z,2025-02-13T10:18:52.560Z,0,42.81,22.48,71.03,47.37,42.76,22.63,70.63,47.09,32.11,False,0,0,0,0,0,0,0,0,0,1,0.9,1,0.020618227125094465,0.024042777883336027,1.4529802057530923,32.89,BRTFCOACNPR8,0.594598570753965,0.5131350936146533,11,TÊXTIL E VESTUÁRIO,100,False,0,TRACK & FIELD CO S.A.,100,100,2025-02-13 14:54:57,9.56
